"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
3.803333,3.883333,3.753333,3.866666,44334300,3.145051,0.0202284171664191,0.13,0.0800000000000001
3.833333,3.896666,3.793333,3.84,50166000,3.123361,-0.00689654953131125,0.103333,0.0633330000000001
3.976666,4.036666,3.89,3.933333,39812700,3.199276,0.0243055477736962,0.146666,0.0600000000000005
3.876666,3.9,3.786666,3.853333,47070600,3.134206,-0.0203389766934768,0.113334,0.0233339999999997
3.873333,3.906666,3.826666,3.85,29971500,3.131495,-0.00086497186209189,0.0800000000000001,0.0333329999999998
3.85,3.866666,3.77,3.783333,22251000,3.07727,-0.0173160104039765,0.0966659999999999,0.0166659999999998
3.856666,4.02,3.803333,3.993333,43242300,3.248079,0.0555066666233384,0.216667,0.163333999999999
4.023333,4.023333,3.926666,3.99,30160500,3.245368,-0.000834647186844895,0.0966670000000001,0
3.943333,4.09,3.943333,4,39437400,3.253501,0.00250603321410692,0.146667,0.146667
3.953333,3.953333,3.85,3.906666,20031000,3.245889,-0.00233963352093636,0.103333,0
3.916666,3.953333,3.863333,3.863333,23567700,3.209884,-0.0110924926884437,0.0900000000000003,0.036667
3.833333,3.876666,3.756666,3.866666,44964600,3.212654,0.00086295953374016,0.12,0.0433330000000001
3.933333,3.956666,3.863333,3.903333,48750900,3.243119,0.00948281389779293,0.0933329999999999,0.0233329999999996
3.796666,3.853333,3.733333,3.743333,40751700,3.110182,-0.0409904786102514,0.12,0.056667
3.743333,3.783333,3.673333,3.686666,29202900,3.063099,-0.0151383423863942,0.11,0.04
3.693333,3.726666,3.67,3.7,16921800,3.074178,0.00361692521201573,0.0566659999999999,0.0333329999999998
3.743333,3.766666,3.643333,3.683333,15818100,3.06033,-0.00450461879565855,0.123333,0.023333
3.693333,3.71,3.616666,3.636666,15461400,3.021556,-0.012669875470946,0.093334,0.016667
3.653333,3.696666,3.633333,3.643333,16468800,3.027096,0.00183349241251851,0.0633330000000001,0.0433330000000001
3.633333,3.693333,3.606666,3.63,21960900,3.016018,-0.00365961304167428,0.0866669999999998,0.0600000000000001
3.576666,3.65,3.476666,3.483333,34184100,2.894158,-0.0404042681442882,0.173334,0.073334
3.5,3.636666,3.5,3.616666,32522700,3.00494,0.0382777996225498,0.136666,0.136666
3.586666,3.653333,3.55,3.613333,21549600,3.00217,-0.000921815410623861,0.103333,0.0666669999999998
3.583333,3.59,3.44,3.463333,43765500,2.877541,-0.0415129722833817,0.15,0.00666699999999976
3.496666,3.533333,3.48,3.506666,27389700,2.913545,0.0125120719392009,0.0533329999999999,0.036667
3.526666,3.59,3.5,3.5,41600400,2.908006,-0.00190112045635138,0.0899999999999999,0.0633339999999998
3.53,3.55,3.43,3.476666,34346100,2.888619,-0.00666676753761852,0.12,0.02
3.496666,3.526666,3.42,3.47,19974000,2.88308,-0.00191752529495914,0.106666,0.0300000000000002
3.486666,3.553333,3.42,3.543333,33691800,2.94401,0.0211336487367677,0.133333,0.0666669999999998
3.483333,3.52,3.443333,3.47,40714800,2.88308,-0.0206962612219388,0.076667,0.036667
3.483333,3.496666,3.443333,3.466666,17318400,2.880311,-0.000960431205516366,0.0533329999999999,0.0133329999999998
3.543333,3.546666,3.476666,3.51,27198600,2.916314,0.0124996918735512,0.0700000000000003,0.00333300000000003
3.463333,3.496666,3.386666,3.416666,35180400,2.838767,-0.0265907580596603,0.11,0.0333329999999998
3.42,3.43,3.36,3.36,33774000,2.791686,-0.0165850173684561,0.0700000000000003,0.0100000000000002
3.393333,3.413333,3.343333,3.346666,43074300,2.780607,-0.00396856953110059,0.0700000000000003,0.02
3.33,3.34,3.243333,3.316666,55701300,2.755681,-0.00896422975271216,0.0966670000000001,0.00999999999999979
3.306666,3.496666,3.303333,3.42,50339400,2.841537,0.031156001003019,0.193333,0.19
3.446666,3.483333,3.393333,3.456666,24288000,2.872002,0.010721310333105,0.0899999999999999,0.036667
3.5,3.533333,3.356666,3.42,90249900,2.841537,-0.0106075831423516,0.176667,0.0333329999999998
3.383333,3.49,3.38,3.49,24746400,2.899698,0.0204681480480458,0.11,0.106667
3.44,3.48,3.373333,3.4,23735100,2.82492,-0.025788202771461,0.106667,0.04
3.423333,3.463333,3.346666,3.46,33669600,2.874772,0.0176472254081532,0.116667,0.04
3.5,3.51,3.41,3.496666,28668900,2.905236,0.0105970143023515,0.0999999999999996,0.00999999999999979
3.493333,3.513333,3.416666,3.436666,15387300,2.855384,-0.0171593633012946,0.0966669999999996,0.02
3.406666,3.48,3.383333,3.443333,16766100,2.860924,0.00194019438366255,0.0966670000000001,0.073334
3.393333,3.41,3.333333,3.4,14134800,2.82492,-0.0125847453480064,0.076667,0.016667
